Index,Datum,Jahrzehnt
0,2014-03-24 03:58:01,2010
1,2014-03-24 03:59:01,2010
2,2014-03-24 04:00:01,2010
3,2014-03-24 04:01:01,2010
4,2014-03-24 04:02:01,2010
5,2014-03-24 04:03:02,2010
6,2014-03-24 04:04:02,2010
7,2014-03-24 04:05:02,2010
8,2014-03-24 04:06:02,2010
9,2014-03-24 04:07:02,2010
10,2014-03-24 04:08:02,2010
11,2014-03-24 04:09:02,2010
12,2014-03-24 04:10:02,2010
13,2014-03-24 04:11:02,2010
14,2014-03-24 04:12:02,2010
15,2014-03-24 04:13:03,2010
16,2014-03-24 04:14:03,2010
17,2014-03-24 04:15:03,2010
18,2014-03-24 04:16:03,2010
19,2014-03-24 04:17:03,2010
20,2014-03-24 04:18:03,2010
21,2014-03-24 04:19:03,2010
22,2014-03-24 04:20:03,2010
23,2014-03-24 04:21:03,2010
24,2014-03-24 04:22:04,2010
25,2014-03-24 04:23:04,2010
26,2014-03-24 04:24:04,2010
27,2014-03-24 04:25:04,2010
28,2014-03-24 04:26:04,2010
29,2014-03-24 04:27:04,2010
30,2014-03-24 04:28:04,2010
31,2014-03-24 04:29:04,2010
32,2014-03-24 04:30:04,2010
33,2014-03-24 04:31:04,2010
34,2014-03-24 04:32:05,2010
35,2014-03-24 04:33:05,2010
36,2014-03-24 04:34:05,2010
37,2014-03-24 04:35:05,2010
38,2014-03-24 04:36:05,2010
39,2014-03-24 04:37:05,2010
40,2014-03-24 04:38:05,2010
41,2014-03-24 04:39:05,2010
42,2014-03-24 04:40:05,2010
43,2014-03-24 04:41:05,2010
44,2014-03-24 04:43:00,2010
45,2014-03-24 04:44:00,2010
46,2014-03-24 04:45:00,2010
47,2014-03-24 04:46:00,2010
48,2014-03-24 04:47:00,2010
49,2014-03-24 04:48:00,2010
50,2014-03-24 04:49:00,2010
51,2014-03-24 04:50:00,2010
52,2014-03-24 04:51:00,2010
53,2014-03-24 04:52:00,2010
54,2014-03-24 04:53:01,2010
55,2014-03-24 04:54:01,2010
56,2014-03-24 04:55:01,2010
57,2014-03-24 04:56:01,2010
58,2014-03-24 04:57:01,2010
59,2014-03-24 04:58:01,2010
60,2014-03-24 04:59:01,2010
61,2014-03-24 05:00:01,2010
62,2014-03-24 05:01:01,2010
63,2014-03-24 05:02:02,2010
64,2014-03-24 05:03:02,2010
65,2014-03-24 05:04:02,2010
66,2014-03-24 05:05:02,2010
67,2014-03-24 05:06:02,2010
68,2014-03-24 05:07:02,2010
69,2014-03-24 05:08:02,2010
70,2014-03-24 05:09:02,2010
71,2014-03-24 05:10:02,2010
72,2014-03-24 05:11:02,2010
73,2014-03-24 05:12:03,2010
74,2014-03-24 05:13:03,2010
75,2014-03-24 05:14:03,2010
76,2014-03-24 05:15:03,2010
77,2014-03-24 05:16:03,2010
78,2014-03-24 05:17:03,2010
79,2014-03-24 05:18:03,2010
80,2014-03-24 05:19:03,2010
81,2014-03-24 05:20:03,2010
82,2014-03-24 05:21:03,2010
83,2014-03-24 05:22:04,2010
84,2014-03-24 05:23:04,2010
85,2014-03-24 05:24:04,2010
86,2014-03-24 05:25:04,2010
87,2014-03-24 05:26:04,2010
88,2014-03-24 05:27:04,2010
89,2014-03-24 05:28:04,2010
90,2014-03-24 05:29:04,2010
91,2014-03-24 05:30:04,2010
92,2014-03-24 05:31:04,2010
93,2014-03-24 05:32:05,2010
94,2014-03-24 05:33:05,2010
95,2014-03-24 05:34:05,2010
96,2014-03-24 05:35:05,2010
97,2014-03-24 05:36:05,2010
98,2014-03-24 05:37:05,2010
99,2014-03-24 05:38:05,2010
100,2014-03-24 05:39:05,2010
101,2014-03-24 05:40:05,2010
102,2014-03-24 05:42:00,2010
103,2014-03-24 05:43:00,2010
104,2014-03-24 05:44:00,2010
105,2014-03-24 05:45:00,2010
106,2014-03-24 05:46:00,2010
107,2014-03-24 05:47:00,2010
108,2014-03-24 05:48:00,2010
109,2014-03-24 05:49:00,2010
110,2014-03-24 05:50:00,2010
111,2014-03-24 05:51:00,2010
112,2014-03-24 05:52:01,2010
113,2014-03-24 05:53:01,2010
114,2014-03-24 05:54:01,2010
115,2014-03-24 05:55:01,2010
116,2014-03-24 05:56:01,2010
117,2014-03-24 05:57:01,2010
118,2014-03-24 05:58:01,2010
119,2014-03-24 05:59:01,2010
120,2014-03-24 06:00:01,2010
121,2014-03-24 06:01:01,2010
122,2014-03-24 06:02:02,2010
123,2014-03-24 06:03:02,2010
124,2014-03-24 06:04:02,2010
125,2014-03-24 06:05:02,2010
126,2014-03-24 06:06:02,2010
127,2014-03-24 06:07:02,2010
128,2014-03-24 06:08:02,2010
129,2014-03-24 06:09:02,2010
130,2014-03-24 06:10:02,2010
131,2014-03-24 06:11:02,2010
132,2014-03-24 06:12:03,2010
133,2014-03-24 06:13:03,2010
134,2014-03-24 06:14:03,2010
135,2014-03-24 06:15:03,2010
136,2014-03-24 06:16:03,2010
137,2014-03-24 06:17:03,2010
138,2014-03-24 06:18:03,2010
139,2014-03-24 06:19:03,2010
140,2014-03-24 06:20:03,2010
141,2014-03-24 06:21:04,2010
142,2014-03-24 06:22:04,2010
143,2014-03-24 06:23:04,2010
144,2014-03-24 06:24:04,2010
145,2014-03-24 06:25:04,2010
146,2014-03-24 06:26:04,2010
147,2014-03-24 06:27:04,2010
148,2014-03-24 06:28:04,2010
149,2014-03-24 06:29:04,2010
150,2014-03-24 06:30:04,2010
151,2014-03-24 06:31:05,2010
152,2014-03-24 06:32:05,2010
153,2014-03-24 06:33:05,2010
154,2014-03-24 06:34:05,2010
155,2014-03-24 06:35:05,2010
156,2014-03-24 06:36:05,2010
157,2014-03-24 06:37:05,2010
158,2014-03-24 06:38:05,2010
159,2014-03-24 06:39:05,2010
160,2014-03-24 06:40:05,2010
161,2014-03-24 06:42:00,2010
162,2014-03-24 06:43:00,2010
163,2014-03-24 06:44:00,2010
164,2014-03-24 06:45:00,2010
165,2014-03-24 06:46:00,2010
166,2014-03-24 06:47:00,2010
167,2014-03-24 06:48:00,2010
168,2014-03-24 06:49:00,2010
169,2014-03-24 06:50:00,2010
170,2014-03-24 06:51:00,2010
171,2014-03-24 06:52:01,2010
172,2014-03-24 06:53:01,2010
173,2014-03-24 06:54:01,2010
174,2014-03-24 06:55:01,2010
175,2014-03-24 06:56:01,2010
176,2014-03-24 06:57:01,2010
177,2014-03-24 06:58:01,2010
178,2014-03-24 06:59:01,2010
179,2014-03-24 07:00:01,2010
180,2014-03-24 07:01:02,2010
181,2014-03-24 07:02:02,2010
182,2014-03-24 07:03:02,2010
183,2014-03-24 07:04:02,2010
184,2014-03-24 07:05:02,2010
185,2014-03-24 07:06:02,2010
186,2014-03-24 07:07:02,2010
187,2014-03-24 07:08:02,2010
188,2014-03-24 07:09:02,2010
189,2014-03-24 07:10:02,2010
190,2014-03-24 07:11:03,2010
191,2014-03-24 07:12:03,2010
192,2014-03-24 07:13:03,2010
193,2014-03-24 07:14:03,2010
194,2014-03-24 07:15:03,2010
195,2014-03-24 07:16:03,2010
196,2014-03-24 07:17:03,2010
197,2014-03-24 07:18:03,2010
198,2014-03-24 07:19:03,2010
199,2014-03-24 07:20:03,2010
200,2014-03-24 07:21:04,2010
201,2014-03-24 07:22:04,2010
202,2014-03-24 07:23:04,2010
203,2014-03-24 07:24:04,2010
204,2014-03-24 07:25:04,2010
205,2014-03-24 07:26:04,2010
206,2014-03-24 07:27:04,2010
207,2014-03-24 07:28:04,2010
208,2014-03-24 07:29:04,2010
209,2014-03-24 07:30:04,2010
210,2014-03-24 07:31:05,2010
211,2014-03-24 07:32:05,2010
212,2014-03-24 07:33:05,2010
213,2014-03-24 07:34:05,2010
214,2014-03-24 07:35:05,2010
215,2014-03-24 07:36:05,2010
216,2014-03-24 07:37:05,2010
217,2014-03-24 07:38:05,2010
218,2014-03-24 07:39:05,2010
219,2014-03-24 07:41:00,2010
220,2014-03-24 07:42:00,2010
221,2014-03-24 07:43:00,2010
222,2014-03-24 07:44:00,2010
223,2014-03-24 07:45:00,2010
224,2014-03-24 07:46:00,2010
225,2014-03-24 07:47:00,2010
226,2014-03-24 07:48:00,2010
227,2014-03-24 07:49:00,2010
228,2014-03-24 07:50:00,2010
229,2014-03-24 07:51:01,2010
230,2014-03-24 07:52:01,2010
231,2014-03-24 07:53:01,2010
232,2014-03-24 07:54:01,2010
233,2014-03-24 07:55:01,2010
234,2014-03-24 07:56:01,2010
235,2014-03-24 07:57:01,2010
236,2014-03-24 07:58:01,2010
237,2014-03-24 07:59:01,2010
238,2014-03-24 08:00:01,2010
239,2014-03-24 08:01:02,2010
240,2014-03-24 08:02:02,2010
241,2014-03-24 08:03:02,2010
242,2014-03-24 08:04:02,2010
243,2014-03-24 08:05:02,2010
244,2014-03-24 08:06:02,2010
245,2014-03-24 08:07:02,2010
246,2014-03-24 08:08:02,2010
247,2014-03-24 08:09:02,2010
248,2014-03-24 08:10:03,2010
249,2014-03-24 08:11:03,2010
250,2014-03-24 08:12:03,2010
251,2014-03-24 08:13:03,2010
252,2014-03-24 08:14:03,2010
253,2014-03-24 08:15:03,2010
254,2014-03-24 08:16:03,2010
255,2014-03-24 08:17:03,2010
256,2014-03-24 08:18:03,2010
257,2014-03-24 08:19:03,2010
258,2014-03-24 08:20:04,2010
259,2014-03-24 08:21:04,2010
260,2014-03-24 08:22:04,2010
261,2014-03-24 08:23:04,2010
262,2014-03-24 08:24:04,2010
263,2014-03-24 08:25:04,2010
264,2014-03-24 08:26:04,2010
265,2014-03-24 08:27:04,2010
266,2014-03-24 08:28:04,2010
267,2014-03-24 08:29:04,2010
268,2014-03-24 08:30:05,2010
269,2014-03-24 08:31:05,2010
270,2014-03-24 08:32:05,2010
271,2014-03-24 08:33:05,2010
272,2014-03-24 08:34:05,2010
273,2014-03-24 08:35:05,2010
274,2014-03-24 08:36:05,2010
275,2014-03-24 08:37:05,2010
276,2014-03-24 08:38:05,2010
277,2014-03-24 08:39:05,2010
278,2014-03-24 08:41:00,2010
279,2014-03-24 08:42:00,2010
280,2014-03-24 08:43:00,2010
281,2014-03-24 08:44:00,2010
282,2014-03-24 08:45:00,2010
283,2014-03-24 08:46:00,2010
284,2014-03-24 08:47:00,2010
285,2014-03-24 08:48:00,2010
286,2014-03-24 08:49:00,2010
287,2014-03-24 08:50:01,2010
288,2014-03-24 08:51:01,2010
289,2014-03-24 08:52:01,2010
290,2014-03-24 08:53:01,2010
291,2014-03-24 08:54:01,2010
292,2014-03-24 08:55:01,2010
293,2014-03-24 08:56:01,2010
294,2014-03-24 08:57:01,2010
295,2014-03-24 08:58:01,2010
296,2014-03-24 08:59:01,2010
297,2014-03-24 09:00:02,2010
298,2014-03-24 09:01:02,2010
299,2014-03-24 09:02:02,2010
300,2014-03-24 09:03:02,2010
301,2014-03-24 09:04:02,2010
302,2014-03-24 09:05:02,2010
303,2014-03-24 09:06:02,2010
304,2014-03-24 09:07:02,2010
305,2014-03-24 09:08:02,2010
306,2014-03-24 09:09:02,2010
307,2014-03-24 09:10:03,2010
308,2014-03-24 09:11:03,2010
309,2014-03-24 09:12:03,2010
310,2014-03-24 09:13:03,2010
311,2014-03-24 09:14:03,2010
312,2014-03-24 09:15:03,2010
313,2014-03-24 09:16:03,2010
314,2014-03-24 09:17:03,2010
315,2014-03-24 09:18:03,2010
316,2014-03-24 09:19:03,2010
317,2014-03-24 09:20:04,2010
318,2014-03-24 09:21:04,2010
319,2014-03-24 09:22:04,2010
320,2014-03-24 09:23:04,2010
321,2014-03-24 09:24:04,2010
322,2014-03-24 09:25:04,2010
323,2014-03-24 09:26:04,2010
324,2014-03-24 09:27:04,2010
325,2014-03-24 09:28:04,2010
326,2014-03-24 09:29:05,2010
327,2014-03-24 09:30:05,2010
328,2014-03-24 09:31:05,2010
329,2014-03-24 09:32:05,2010
330,2014-03-24 09:33:05,2010
331,2014-03-24 09:34:05,2010
332,2014-03-24 09:35:05,2010
333,2014-03-24 09:36:05,2010
334,2014-03-24 09:37:05,2010
335,2014-03-24 09:38:05,2010
336,2014-03-24 09:40:00,2010
337,2014-03-24 09:41:00,2010
338,2014-03-24 09:42:00,2010
339,2014-03-24 09:43:00,2010
340,2014-03-24 09:44:00,2010
341,2014-03-24 09:45:00,2010
342,2014-03-24 09:46:00,2010
343,2014-03-24 09:47:00,2010
344,2014-03-24 09:48:00,2010
345,2014-03-24 09:49:00,2010
346,2014-03-24 09:50:01,2010
347,2014-03-24 09:51:01,2010
348,2014-03-24 09:52:01,2010
349,2014-03-24 09:53:01,2010
350,2014-03-24 09:54:01,2010
351,2014-03-24 09:55:01,2010
352,2014-03-24 09:56:01,2010
353,2014-03-24 09:57:01,2010
354,2014-03-24 09:58:01,2010
355,2014-03-24 09:59:01,2010
356,2014-03-24 10:00:02,2010
357,2014-03-24 10:01:02,2010
358,2014-03-24 10:02:02,2010
359,2014-03-24 10:03:02,2010
360,2014-03-24 10:04:02,2010
361,2014-03-24 10:05:02,2010
362,2014-03-24 10:06:02,2010
363,2014-03-24 10:07:02,2010
364,2014-03-24 10:08:02,2010
365,2014-03-24 10:09:03,2010
366,2014-03-24 10:10:03,2010
367,2014-03-24 10:11:03,2010
368,2014-03-24 10:12:03,2010
369,2014-03-24 10:13:03,2010
370,2014-03-24 10:14:03,2010
371,2014-03-24 10:15:03,2010
372,2014-03-24 10:16:03,2010
373,2014-03-24 10:17:03,2010
374,2014-03-24 10:18:03,2010
375,2014-03-24 10:19:04,2010
376,2014-03-24 10:20:04,2010
377,2014-03-24 10:21:04,2010
378,2014-03-24 10:22:04,2010
379,2014-03-24 10:23:04,2010
380,2014-03-24 10:24:04,2010
381,2014-03-24 10:25:04,2010
382,2014-03-24 10:26:04,2010
383,2014-03-24 10:27:04,2010
384,2014-03-24 10:28:04,2010
385,2014-03-24 10:29:05,2010
386,2014-03-24 10:30:05,2010
387,2014-03-24 10:31:05,2010
388,2014-03-24 10:32:05,2010
389,2014-03-24 10:33:05,2010
390,2014-03-24 10:34:05,2010
391,2014-03-24 10:35:05,2010
392,2014-03-24 10:36:05,2010
393,2014-03-24 10:37:05,2010
394,2014-03-24 10:38:05,2010
395,2014-03-24 10:40:00,2010
396,2014-03-24 10:41:00,2010
397,2014-03-24 10:42:00,2010
398,2014-03-24 10:43:00,2010
399,2014-03-24 10:44:00,2010
400,2014-03-24 10:45:00,2010
401,2014-03-24 10:46:00,2010
402,2014-03-24 10:47:00,2010
403,2014-03-24 10:48:00,2010
404,2014-03-24 10:49:01,2010
405,2014-03-24 10:50:01,2010
406,2014-03-24 10:51:01,2010
407,2014-03-24 10:52:01,2010
408,2014-03-24 10:53:01,2010
409,2014-03-24 10:54:01,2010
410,2014-03-24 10:55:01,2010
411,2014-03-24 10:56:01,2010
412,2014-03-24 10:57:01,2010
413,2014-03-24 10:58:01,2010
414,2014-03-24 10:59:02,2010
415,2014-03-24 11:00:02,2010
416,2014-03-24 11:01:02,2010
417,2014-03-24 11:02:02,2010
418,2014-03-24 11:03:02,2010
419,2014-03-24 11:04:02,2010
420,2014-03-24 11:05:02,2010
421,2014-03-24 11:06:02,2010
422,2014-03-24 11:07:02,2010
423,2014-03-24 11:08:02,2010
424,2014-03-24 11:09:03,2010
425,2014-03-24 11:10:03,2010
426,2014-03-24 11:11:03,2010
427,2014-03-24 11:12:03,2010
428,2014-03-24 11:13:03,2010
429,2014-03-24 11:14:03,2010
430,2014-03-24 11:15:03,2010
431,2014-03-24 11:16:03,2010
432,2014-03-24 11:17:03,2010
433,2014-03-24 11:18:03,2010
434,2014-03-24 11:19:04,2010
435,2014-03-24 11:20:04,2010
436,2014-03-24 11:21:04,2010
437,2014-03-24 11:22:04,2010
438,2014-03-24 11:23:04,2010
439,2014-03-24 11:24:04,2010
440,2014-03-24 11:25:04,2010
441,2014-03-24 11:26:04,2010
442,2014-03-24 11:27:04,2010
443,2014-03-24 11:28:05,2010
444,2014-03-24 11:29:05,2010
445,2014-03-24 11:30:05,2010
446,2014-03-24 11:31:05,2010
447,2014-03-24 11:32:05,2010
448,2014-03-24 11:33:05,2010
449,2014-03-24 11:34:05,2010
450,2014-03-24 11:35:05,2010
451,2014-03-24 11:36:05,2010
452,2014-03-24 11:37:05,2010
453,2014-03-24 11:39:00,2010
454,2014-03-24 11:40:00,2010
455,2014-03-24 11:41:00,2010
456,2014-03-24 11:42:00,2010
457,2014-03-24 11:43:00,2010
458,2014-03-24 11:44:00,2010
459,2014-03-24 11:45:00,2010
460,2014-03-24 11:46:00,2010
461,2014-03-24 11:47:00,2010
462,2014-03-24 11:48:00,2010
463,2014-03-24 11:49:01,2010
464,2014-03-24 11:50:01,2010
465,2014-03-24 11:51:01,2010
466,2014-03-24 11:52:01,2010
467,2014-03-24 11:53:01,2010
468,2014-03-24 11:54:01,2010
469,2014-03-24 11:55:01,2010
470,2014-03-24 11:56:01,2010
471,2014-03-24 11:57:01,2010
472,2014-03-24 11:58:01,2010
473,2014-03-24 11:59:02,2010
474,2014-03-24 12:00:02,2010
475,2014-03-24 12:01:02,2010
